goos: darwin
goarch: arm64
pkg: github.com/DataDog/datadog-agent/pkg/logs/processor
cpu: Apple M4 Max
BenchmarkRegexPatterns/missing_gcr_secret/match-16                                              	  501374	      2401 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/missing_gcr_secret/miss-16                                               	  439248	      2778 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/dex-bin-aggregator_error/match-16                                        	 1770768	       677.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/dex-bin-aggregator_error/miss-16                                         	 2471823	       484.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/social_security_number_xml/match-16                                      	 3638125	       331.4 ns/op	     261 B/op	       7 allocs/op
BenchmarkRegexPatterns/social_security_number_xml/miss-16                                       	 1251619	       958.5 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/account_number/match-16                                                  	 4385109	       269.8 ns/op	     114 B/op	       5 allocs/op
BenchmarkRegexPatterns/account_number/miss-16                                                   	 3332779	       362.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/exclude_datadog_tracer_logs/match-16                                     	 2881761	       417.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkRegexPatterns/exclude_datadog_tracer_logs/miss-16                                      	 1581504	       758.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkRegexPatterns/visa_mc_amex_diners_discover_jcb_credit_card/match-16                    	 4033332	       295.8 ns/op	      98 B/op	       5 allocs/op
BenchmarkRegexPatterns/visa_mc_amex_diners_discover_jcb_credit_card/miss-16                     	 3275446	       365.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkRegexPatterns/mask_aws_hadooping_secret_key/match-16                                   	  932298	      1316 ns/op	     177 B/op	       5 allocs/op
