benchmark,ns_per_op,bytes_per_op,allocs_per_op
TimeSamplerHook/sample_only/5sub,81.77,0.0,0
TimeSamplerHook/sample_only/5sub,81.14,0.0,0
TimeSamplerHook/sample_only/5sub,80.87,0.0,0
TimeSamplerHook/sample_only/5sub,81.21,0.0,0
TimeSamplerHook/sample_only/5sub,81.1,0.0,0
TimeSamplerHook/sample_only/5sub,80.99,0.0,0
TimeSamplerHook/batch32_publish/5sub,3102.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3174.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3193.0,14.0,0
TimeSamplerHook/batch32_publish/5sub,3128.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3191.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3216.0,4.0,0
TimeSamplerHook/batch32_publish/5sub,3217.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3104.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3078.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3074.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3422.0,16.0,0
TimeSamplerHook/batch32_publish/5sub,3388.0,3.0,0
TimeSamplerHook/batch32_publish/5sub,3430.0,5.0,0
TimeSamplerHook/batch32_publish/5sub,3184.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3140.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3061.0,0.0,0
TimeSamplerHook/batch32_publish/5sub,3133.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3088.0,0.0,0
TimeSamplerHook/batch32_publish/5sub,3167.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3164.0,4.0,0
TimeSamplerHook/batch32_publish/5sub,3663.0,30.0,0
TimeSamplerHook/batch32_publish/5sub,3341.0,4.0,0
TimeSamplerHook/batch32_publish/5sub,3315.0,6.0,0
TimeSamplerHook/batch32_publish/5sub,3211.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3188.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3100.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3126.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3180.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3145.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3146.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3106.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3074.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3364.0,17.0,0
TimeSamplerHook/batch32_publish/5sub,3286.0,5.0,0
TimeSamplerHook/batch32_publish/5sub,3106.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3313.0,3.0,0
TimeSamplerHook/batch32_publish/5sub,3211.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3351.0,4.0,0
TimeSamplerHook/batch32_publish/5sub,3220.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3287.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3259.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3139.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3095.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3150.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3165.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3185.0,3.0,0
TimeSamplerHook/batch32_publish/5sub,3135.0,2.0,0
TimeSamplerHook/batch32_publish/5sub,3142.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3167.0,1.0,0
TimeSamplerHook/batch32_publish/5sub,3176.0,2.0,0
NoAggWorkerHook/batch32/noop_hook,2.14,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.119,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.122,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.123,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.148,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.134,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.201,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.127,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.132,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.134,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.122,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.124,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.139,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.125,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.128,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.135,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.137,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.154,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.181,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.134,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.127,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.121,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.125,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.152,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.125,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.137,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.194,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.116,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.125,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.154,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.153,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.124,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.126,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.136,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.142,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.119,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.138,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.115,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.116,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.109,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.421,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.219,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.261,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.272,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.131,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.116,0.0,0
NoAggWorkerHook/batch32/noop_hook,2.129,0.0,0
